OBJECTID,lat,long,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1407,33.447346,-112.134645,"SB 35TH AVE FS WASHINGTON ST
",N,83585,SHELTERS,-12482771.58,3954833.314
1408,33.447346,-112.134645,"SB 35TH AVE FS WASHINGTON ST
",S,50139,SHELTERS,-12482771.58,3954833.314
1409,33.406695,-111.978336,"SB 48TH ST FS BROADWAY RD
",N,88452,SHELTERS,-12465371.34,3949411.18
1410,33.406695,-111.978336,"SB 48TH ST FS BROADWAY RD
",S,52772,SHELTERS,-12465371.34,3949411.18
1411,33.304805,-111.980454,"SB 48TH ST FS CHANDLER BLVD
",N,96893,SHELTERS,-12465607.12,3935831.968
1412,33.304805,-111.980454,"SB 48TH ST FS CHANDLER BLVD
",S,57681,SHELTERS,-12465607.12,3935831.968
1413,33.402993,-111.978357,"SB 48TH ST FS COTTON CENTER BLVD
",N,88452,SHELTERS,-12465373.68,3948917.524
1414,33.402993,-111.978357,"SB 48TH ST FS COTTON CENTER BLVD
",S,52772,SHELTERS,-12465373.68,3948917.524
1415,33.348431,-111.980577,"SB 48TH ST FS ELLIOT RD
",N,50035,SHELTERS,-12465620.81,3941644.201
1416,33.348431,-111.980577,"SB 48TH ST FS ELLIOT RD
",S,30538,SHELTERS,-12465620.81,3941644.201
1417,33.46566,-112.012203,"EB MCDOWELL RD FS 32ND ST
",W,83197,SHELTERS,-12469141.4,3957276.912
1418,33.46566,-112.012203,"EB MCDOWELL RD FS 32ND ST
",E,49518,SHELTERS,-12469141.4,3957276.912
1419,33.392216,-111.978493,"SB 48TH ST FS SOUTHERN AVE
",N,73230,SHELTERS,-12465388.82,3947480.547
1420,33.392216,-111.978493,"SB 48TH ST FS SOUTHERN AVE
",S,43428,SHELTERS,-12465388.82,3947480.547
1421,33.330035,-111.980751,"SB 48TH ST FS WARNER RD
",E,51058,BENCHES,-12465640.18,3939192.972
1422,33.428456,-112.08261,"SB 7TH AVE FS I-17 FWY
",N,74667,SHELTERS,-12476979.07,3952313.402
1423,33.428456,-112.08261,"SB 7TH AVE FS I-17 FWY
",S,44616,SHELTERS,-12476979.07,3952313.402
1424,33.406148,-112.082177,"SB 7TH AVE FS BROADWAY RD
",N,65456,SHELTERS,-12476930.87,3949338.237
1425,33.406148,-112.082177,"SB 7TH AVE FS BROADWAY RD
",S,39056,SHELTERS,-12476930.87,3949338.237
1426,33.465624,-112.068935,"EB MCDOWELL RD FS 3RD ST
",W,81528,SHELTERS,-12475456.78,3957272.108
1427,33.465624,-112.068935,"EB MCDOWELL RD FS 3RD ST
",E,47887,SHELTERS,-12475456.78,3957272.108
1428,33.391543,-112.082148,"SB 7TH AVE FS SOUTHERN AVE
",N,51375,SHELTERS,-12476927.64,3947390.817
1429,33.391543,-112.082148,"SB 7TH AVE FS SOUTHERN AVE
",S,31018,SHELTERS,-12476927.64,3947390.817
1430,33.384305,-112.082078,"SB 7TH AVE FS VINEYARD RD
",S,51087,SHELTERS,-12476919.85,3946425.828
1431,33.384305,-112.082078,"SB 7TH AVE FS VINEYARD RD
",N,31019,SHELTERS,-12476919.85,3946425.828
1432,33.465528,-111.995192,"EB MCDOWELL RD FS 40TH ST
",W,93431,SHELTERS,-12467247.74,3957259.298
1433,33.465528,-111.995192,"EB MCDOWELL RD FS 40TH ST
",E,55508,SHELTERS,-12467247.74,3957259.298
1434,33.406181,-112.064744,"SB 7TH ST FS BROADWAY RD
",N,56207,SHELTERS,-12474990.24,3949342.637
1435,33.406181,-112.064744,"SB 7TH ST FS BROADWAY RD
",S,34233,SHELTERS,-12474990.24,3949342.637
1436,33.436307,-112.065383,"SB 7TH ST FS BUCKEYE RD
",N,69733,SHELTERS,-12475061.37,3953360.653
1437,33.436307,-112.065383,"SB 7TH ST FS BUCKEYE RD
",S,42946,SHELTERS,-12475061.37,3953360.653
1438,33.441623,-112.065517,"SB 7TH ST FS LINCOLN ST
",N,66542,SHELTERS,-12475076.29,3954069.812
1439,33.441623,-112.065517,"SB 7TH ST FS LINCOLN ST
",S,37221,SHELTERS,-12475076.29,3954069.812
1440,33.430995,-112.065207,"SB 7TH ST FS MOHAVE ST
",E,51041,BENCHES,-12475041.78,3952652.071
1441,33.432795,-112.065306,"SB 7TH ST FS PIMA ST
",E,51041,BENCHES,-12475052.8,3952892.172
1442,33.399193,-112.064708,"SB 7TH ST FS ROESER RD
",N,56207,SHELTERS,-12474986.23,3948410.821
1443,33.399193,-112.064708,"SB 7TH ST FS ROESER RD
",S,34233,SHELTERS,-12474986.23,3948410.821
1444,33.3918,-112.064767,"SB 7TH ST FS SOUTHERN AVE
",N,46837,SHELTERS,-12474992.8,3947425.082
1445,33.3918,-112.064767,"SB 7TH ST FS SOUTHERN AVE
",S,28700,SHELTERS,-12474992.8,3947425.082
1446,33.422829,-112.065108,"SB 7TH ST FS UNIVERSITY DR
",N,72644,SHELTERS,-12475030.76,3951562.87
1447,33.422829,-112.065108,"SB 7TH ST FS UNIVERSITY DR
",S,43875,SHELTERS,-12475030.76,3951562.87
1448,33.416009,-112.064823,"SB 7TH ST FS VICTORY ST
",N,72644,SHELTERS,-12474999.03,3950653.281
1449,33.416009,-112.064823,"SB 7TH ST FS VICTORY ST
",S,43875,SHELTERS,-12474999.03,3950653.281
1450,33.447626,-112.065289,"SB 7TH ST FS WASHINGTON ST
",N,115949,SHELTERS,-12475050.91,3954870.67
1451,33.447626,-112.065289,"SB 7TH ST FS WASHINGTON ST
",S,66944,SHELTERS,-12475050.91,3954870.67
1452,33.425425,-112.065276,"SB 7TH ST FS WATKINS ST
",E,60952,BENCHES,-12475049.46,3951909.119
1453,33.402695,-112.064707,"SB 7TH ST FS WIER AVE
",E,43259,BENCHES,-12474986.12,3948877.787
1454,33.379256,-112.064749,"SB 7TH ST MB FREMONT RD
",N,46480,SHELTERS,-12474990.79,3945752.73
1455,33.379256,-112.064749,"SB 7TH ST MB FREMONT RD
",S,28441,SHELTERS,-12474990.79,3945752.73
1456,33.465393,-111.969256,"EB MCDOWELL RD FS 52ND ST
",W,80277,SHELTERS,-12464360.56,3957241.283
1457,33.465393,-111.969256,"EB MCDOWELL RD FS 52ND ST
",E,49289,SHELTERS,-12464360.56,3957241.283
1458,33.465393,-111.969256,EB MCDOWELL RD FS 52ND ST,N,0,BENCHES,-12464360.56,3957241.283
1459,33.377221,-112.073403,"SB CENTRAL AVE FS BASELINE RD
",N,26435,SHELTERS,-12475954.15,3945481.449
1460,33.377221,-112.073403,"SB CENTRAL AVE FS BASELINE RD
",S,17231,SHELTERS,-12475954.15,3945481.449
1461,33.406581,-112.07344,"SB CENTRAL AVE FS BROADWAY RD
",N,66495,SHELTERS,-12475958.27,3949395.978
1462,33.406581,-112.07344,"SB CENTRAL AVE FS BROADWAY RD
",S,39634,SHELTERS,-12475958.27,3949395.978
1463,33.413494,-112.073505,"SB CENTRAL AVE FS ELWOOD ST
",E,36602,BENCHES,-12475965.51,3950317.871
1464,33.390049,-112.073453,"SB CENTRAL AVE FS LYNNE AVE
",N,47199,SHELTERS,-12475959.72,3947191.626
1465,33.390049,-112.073453,"SB CENTRAL AVE FS LYNNE AVE
",S,29162,SHELTERS,-12475959.72,3947191.626
1466,33.430693,-112.073805,"SB CENTRAL AVE FS MOHAVE ST
",N,35072,SHELTERS,-12475998.9,3952611.787
1467,33.430693,-112.073805,"SB CENTRAL AVE FS MOHAVE ST
",S,22165,SHELTERS,-12475998.9,3952611.787
1468,33.433804,-112.07384,"SB CENTRAL AVE FS PAPAGO ST
",N,35072,SHELTERS,-12476002.8,3953026.765
